POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
1,Michael Hussey,17,17,3,733,95,52.35,566,129.5,0,6,81,17,2013
2,Chris Gayle,16,16,4,708,175,59,453,156.29,1,4,57,51,2013
3,Virat Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22,2013
4,Suresh Raina,18,17,4,548,100,42.15,365,150.13,1,4,50,18,2013
5,Shane Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22,2013
6,Rohit Sharma,19,19,5,538,79,38.42,409,131.54,0,4,35,28,2013
7,Dinesh Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14,2013
8,Ajinkya Rahane,18,18,4,488,68,34.85,458,106.55,0,4,42,11,2013
9,Rahul Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5,2013
10,MS Dhoni,18,16,5,461,67,41.9,283,162.89,0,4,32,25,2013
11,Aaron Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16,2013
12,Robin Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12,2013
13,Kieron Pollard,18,18,8,420,66,42,281,149.46,0,3,27,29,2013
14,Dwayne Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19,2013
15,David Miller,12,12,5,418,101,59.71,254,164.56,1,3,28,24,2013
16,David Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14,2013
17,Gautam Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5,2013
18,AB de Villiers,14,14,4,360,64,36,219,164.38,0,2,34,15,2013
19,Yusuf Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14,2013
20,Mahela Jayawardena,15,15,0,331,66,22.06,313,105.75,0,2,39,6,2013
21,Murali Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8,2013
22,Jacques Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3,2013
23,Shikhar Dhawan,10,10,2,311,73,38.87,253,122.92,0,3,37,5,2013
24,Eoin Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13,2013
25,Shaun Marsh,8,8,0,300,77,37.5,249,120.48,0,3,39,4,2013
26,Virender Sehwag,13,13,1,295,95,24.58,233,126.6,0,1,41,6,2013
27,Parthiv Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4,2013
28,Adam Gilchrist,13,13,1,294,85,24.5,229,128.38,0,1,41,6,2013
29,Brad Hodge,17,14,7,293,54,41.85,218,134.4,0,1,27,9,2013
30,Stuart Binny,17,16,7,293,41,32.55,199,147.23,0,0,25,12,2013
31,Sachin Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5,2013
32,Ambati Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4,2013
33,Mandeep Singh,16,14,1,260,77,20,223,116.59,0,1,36,0,2013
34,Manvinder Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6,2013
35,Hanuma Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1,2013
36,Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15,2013
37,David Hussey,12,11,1,235,41,23.5,209,112.44,0,0,20,6,2013
38,Thisara Perera,16,14,4,233,40,23.3,163,142.94,0,0,12,14,2013
39,Cameron White,13,13,1,209,52,17.41,191,109.42,0,1,18,7,2013
40,Sanju Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5,2013
41,Ravindra Jadeja,18,14,6,201,38,25.12,135,148.88,0,0,17,6,2013
42,Azhar Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,22,5,2013
43,Ben Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5,2013
44,Darren Sammy,10,9,3,174,60,29,132,131.81,0,1,11,10,2013
45,Angelo Mathews,11,10,3,172,40,24.57,139,123.74,0,0,5,10,2013
46,Moises Henriques,10,9,5,165,44,41.25,125,132,0,0,20,3,2013
47,Manan Vohra,12,10,2,161,43,20.12,117,137.6,0,0,22,2,2013
48,Steve Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4,2013
49,Unmukt Chand,9,9,0,158,41,17.55,158,100,0,0,17,4,2013
50,Kedar Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5,2013
51,Manoj Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1,2013
52,Irfan Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3,2013
53,Mitchell Marsh,9,8,1,140,38,20,106,132.07,0,0,6,10,2013
54,Manish Pandey,7,7,1,136,66,22.66,137,99.27,0,1,11,3,2013
55,Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1,2013
