POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Year
1,Dwayne Bravo,18,18,62.3,497,32,Apr-42,15.53,7.95,11.71,1,0,2013
2,James Faulkner,16,16,63.1,427,28,16-May,15.25,6.75,13.53,0,2,2013
3,Harbhajan Singh,19,19,70,456,24,14-Mar,19,6.51,17.5,0,0,2013
4,Mitchell Johnson,17,17,64,459,24,27-Mar,19.12,7.17,16,0,0,2013
5,Vinay Kumar,16,16,60.1,493,23,18-Mar,21.43,8.19,15.69,0,0,2013
6,Sunil Narine,16,16,64,350,22,13-Apr,15.9,5.46,17.45,2,0,2013
7,Amit Mishra,17,17,62,394,21,19-Apr,18.76,6.35,17.71,1,0,2013
8,Mohit Sharma,15,15,50.4,326,20,10-Mar,16.3,6.43,15.2,0,0,2013
9,Lasith Malinga,17,17,65.2,468,20,Mar-39,23.4,7.16,19.6,0,0,2013
10,Dale Steyn,17,17,67.5,384,19,11-Mar,20.21,5.66,21.42,0,0,2013
11,Thisara Perera,16,16,59.4,478,19,20-Mar,25.15,8.01,18.84,0,0,2013
12,Kevon Cooper,14,14,54,449,19,15-Mar,23.63,8.31,17.05,0,0,2013
13,Pragyan Ojha,16,15,52.2,381,16,11-Mar,23.81,7.28,19.62,0,0,2013
14,Jacques Kallis,16,15,53,394,16,13-Mar,24.62,7.43,19.87,0,0,2013
15,Umesh Yadav,16,16,57.5,508,16,24-Apr,31.75,8.78,21.68,1,0,2013
16,Ashok Dinda,13,13,49,465,16,31-Mar,29.06,9.48,18.37,0,0,2013
17,Ravichandran Ashwin,18,18,58,390,15,18-Feb,26,6.72,23.2,0,0,2013
18,Azhar Mahmood,11,11,43.5,330,15,21-Mar,22,7.52,17.53,0,0,2013
19,Parvinder Awana,14,14,54,412,15,Mar-39,27.46,7.62,21.6,0,0,2013
20,Ishant Sharma,16,16,59.4,466,15,27-Mar,31.06,7.81,23.86,0,0,2013
21,Chris Morris,16,16,50,401,15,Mar-40,26.73,8.02,20,0,0,2013
22,Bhuvneshwar Kumar,16,16,57,371,13,18-Mar,28.53,6.5,26.3,0,0,2013
23,Ravi Rampaul,10,10,37.4,261,13,31-Mar,20.07,6.92,17.38,0,0,2013
24,Shane Watson,16,13,41.4,298,13,22-Mar,22.92,7.15,19.23,0,0,2013
25,Ravindra Jadeja,18,15,43.1,323,13,20-Mar,24.84,7.48,19.92,0,0,2013
26,Jaydev Unadkat,13,13,49,370,13,25-May,28.46,7.55,22.61,0,1,2013
27,RP Singh,11,11,39.5,335,13,13-Mar,25.76,8.41,18.38,0,0,2013
28,Praveen Kumar,15,15,56.2,373,12,10-Feb,31.08,6.62,28.16,0,0,2013
29,Siddharth Trivedi,17,17,59.5,410,12,23-Mar,34.16,6.85,29.91,0,0,2013
30,Lakshmipathy Balaji,13,13,50,387,12,19-Mar,32.25,7.74,25,0,0,2013
31,Karn Sharma,13,13,34.5,230,11,19-Feb,20.9,6.6,19,0,0,2013
32,Piyush Chawla,16,16,58.2,418,11,20-Feb,38,7.16,31.81,0,0,2013
33,Rajat Bhatia,15,15,43.5,332,11,23-Feb,30.18,7.57,23.9,0,0,2013
34,Ashish Nehra,10,10,36,316,11,Feb-35,28.72,8.77,19.63,0,0,2013
35,Irfan Pathan,15,15,51.2,382,10,Feb-29,38.2,7.44,30.8,0,0,2013
36,Kieron Pollard,18,14,31,292,10,6-Feb,29.2,9.41,18.6,0,0,2013
37,Shahbaz Nadeem,12,12,44,259,9,17-Feb,28.77,5.88,29.33,0,0,2013
38,Sachithra Senanayake,8,8,32,209,9,26-Feb,23.22,6.53,21.33,0,0,2013
39,Rahul Sharma,11,11,41,281,9,16-Feb,31.22,6.85,27.33,0,0,2013
40,Murali Kartik,11,11,39,284,9,24-Feb,31.55,7.28,26,0,0,2013
41,Sandeep Sharma,4,4,16,119,8,21-Mar,14.87,7.43,12,0,0,2013
42,Darren Sammy,10,9,22.2,168,8,22-Apr,21,7.52,16.75,1,0,2013
43,Dhawal Kulkarni,6,6,18.4,151,8,19-Mar,18.87,8.08,14,0,0,2013
44,Albie Morkel,8,7,24,159,7,Mar-32,22.71,6.62,20.57,0,0,2013
